	text_id	word_id	skipped	time	outlier	ref_token	centered_time	word_len
127759	1	0	0.0	303.0	False	Muinaisen	66.73529411764707	9
127760	1	1	0.0	266.0	False	roomalaisen	29.735294117647072	11
127761	1	2	0.0	170.0	False	mytologian	-66.26470588235293	10
127762	1	3	0.0	89.0	False	mukaan	-147.26470588235293	6
127763	1	4	0.0	164.0	False	Janus	-72.26470588235293	5
127764	1	5	0.0	387.0	False	oli	150.73529411764707	3
127765	1	6	0.0	343.0	False	alkujen	106.73529411764707	7
127766	1	7	1.0	0.0	False	ja	-236.26470588235293	2
127767	1	8	0.0	491.0	False	porttien	254.73529411764707	8
127768	1	9	0.0	296.0	False	jumala.	59.73529411764707	7
127769	1	10	1.0	0.0	False	Hän	-236.26470588235293	3
127770	1	11	0.0	262.0	False	oli	25.735294117647072	3
127771	1	12	0.0	495.0	False	kaksoisluonteinen	258.7352941176471	17
127772	1	13	1.0	0.0	False	ja	-236.26470588235293	2
127773	1	14	0.0	156.0	False	hänet	-80.26470588235293	5
127774	1	15	0.0	289.0	False	kuvattiin	52.73529411764707	9
127775	1	16	0.0	207.0	False	usein	-29.264705882352928	5
127776	1	17	0.0	251.0	False	kaksin	14.735294117647072	6
127777	1	18	0.0	295.0	False	kasvoin,	58.73529411764707	8
127778	1	19	0.0	195.0	False	toinen	-41.26470588235293	6
127779	1	20	0.0	252.0	False	katsoen	15.735294117647072	7
127780	1	21	0.0	237.0	False	tulevaisuuteen	0.7352941176470722	14
127781	1	22	1.0	0.0	False	ja	-236.26470588235293	2
127782	1	23	0.0	258.0	False	toinen	21.735294117647072	6
127783	1	24	0.0	189.0	False	menneisyyteen.	-47.26470588235293	14
127784	1	25	0.0	256.0	False	Janus	19.735294117647072	5
127785	1	26	0.0	279.0	False	hallitsi	42.73529411764707	8
127786	1	27	0.0	345.0	False	konfliktien	108.73529411764707	11
127787	1	28	0.0	430.0	False	alkua	193.73529411764707	5
127788	1	29	1.0	0.0	False	ja	-236.26470588235293	2
127789	1	30	0.0	341.0	False	loppua,	104.73529411764707	7
127790	1	31	1.0	0.0	False	ja	-236.26470588235293	2
127791	1	32	0.0	197.0	False	sen	-39.26470588235293	3
127792	1	33	0.0	243.0	False	myötä	6.735294117647072	5
127793	1	34	0.0	351.0	False	sotaa	114.73529411764707	5
127794	1	35	0.0	193.0	False	ja	-43.26470588235293	2
127795	1	36	0.0	150.0	False	rauhaa.	-86.26470588235293	7
127796	1	37	0.0	255.0	False	Sotien	18.735294117647072	6
127797	1	38	0.0	231.0	False	aikana	-5.264705882352928	6
127798	1	39	0.0	217.0	False	hänen	-19.264705882352928	5
127799	1	40	0.0	164.0	False	temppelinsä	-72.26470588235293	11
127800	1	41	1.0	0.0	False	ovet	-236.26470588235293	4
127801	1	42	0.0	732.0	False	olivat	495.7352941176471	6
127802	1	43	1.0	0.0	False	auki	-236.26470588235293	4
127803	1	44	1.0	0.0	False	ja	-236.26470588235293	2
127804	1	45	0.0	229.0	False	rauhan	-7.264705882352928	6
127805	1	46	0.0	118.0	False	aikana	-118.26470588235293	6
127806	1	47	0.0	273.0	False	kiinni.	36.73529411764707	7
127807	1	48	0.0	380.0	False	Porttien	143.73529411764707	8
127808	1	49	0.0	237.0	False	jumalana	0.7352941176470722	8
127809	1	50	0.0	480.0	False	hänen	243.73529411764707	5
127810	1	51	0.0	76.0	False	ajateltiin	-160.26470588235293	10
127811	1	52	0.0	199.0	False	myös	-37.26470588235293	4
127812	1	53	0.0	254.0	False	kulkevan	17.735294117647072	8
127813	1	54	0.0	279.0	False	kotien	42.73529411764707	6
127814	1	55	0.0	275.0	False	ovista	38.73529411764707	6
127815	1	56	0.0	202.0	False	sisään	-34.26470588235293	6
127816	1	57	1.0	0.0	False	ja	-236.26470588235293	2
127817	1	58	0.0	172.0	False	ulos.	-64.26470588235293	5
127818	1	59	0.0	196.0	False	Yleisesti	-40.26470588235293	9
127819	1	60	0.0	209.0	False	Janus	-27.264705882352928	5
127820	1	61	0.0	250.0	False	symboloi	13.735294117647072	8
127821	1	62	0.0	275.0	False	muutosta	38.73529411764707	8
127822	1	63	1.0	0.0	False	ja	-236.26470588235293	2
127823	1	64	0.0	280.0	False	siirtymää,	43.73529411764707	10
127824	1	65	1.0	0.0	False	kuten	-236.26470588235293	5
